Index,gameid&date,TeamIDsDate,Unnamed: 3,gameid,officials_ref,officials_ump,officials_lj,officials_line,officials_bj,officials_fj,officials_sj,officials_cj,officials_alt,homeid,homename,visid,visname,date,location,stadium,start_time,end_time,duration,attend,temp,wind,weather,postseason,leaguegame,neutralgame,nightgame,score_home,record_home,rank_home,penalties_no_home,penalties_yds_home,fumbles_no_home,fumbles_lost_home,rush_att_home,rush_yds_home,rush_gain_home,rush_loss_home,rush_td_home,rush_long_home,pass_comp_home,pass_att_home,pass_int_home,pass_yds_home,pass_td_home,pass_long_home,pass_sacks_home,pass_sackyds_home,score_vis,record_vis,rank_vis,penalties_no_vis,penalties_yds_vis,fumbles_no_vis,fumbles_lost_vis,rush_att_vis,rush_yds_vis,rush_gain_vis,rush_loss_vis,rush_td_vis,rush_long_vis,pass_comp_vis,pass_att_vis,pass_int_vis,pass_yds_vis,pass_td_vis,pass_long_vis,pass_sacks_vis,pass_sackyds_vis,Matchup,MatchupTeam1,MatchupTeam2,HomeWeightedRank,VisitorWeightedRank,MatchupWeightedRank,SEC EAST,SEC West,SEC INTERDIVISIONAL,Matchup_Full_TeamNames,Rank Home - Missing Data List,Rank Vis - Missing Data list,weatherb,Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network
209,09-23-2017TAMU_04,TAMU@AR09-23-2017,650,TAMU_04,John McDaid,Brent Sowell,Chad Lorance,Lane Thomas,John Wright,P. Davenport,Chris Conley,Brian Davis,Brian Davis,AR,Arkansas,TAMU,Texas A&M,2017-09-23,"Arlington, Texas",AT&T Stadium,11:02 AM,2:50 PM,3:48,64668,0,,,0,Y,1,character(0),43,2-Jan,character(0),9,69,0,0,45,226,265,39,3,30,13,27,1,231,3,45,6,39,50,1-Mar,character(0),6,36,0,0,42,285,294,9,3,79,14,27,1,216,2,81,1,5,AR-TAMU,AR,TAMU,50,50,100,0,WEST,0,Arkansas vs Texas A&M,character(0),character(0),0,9/23/17,Texas A&M vs. Arkansas (Arlington),Texas A&M-Arkansas09-23-2017,Texas A&M,Arkansas,TAMU,AR,,2708179.0,ESPN
211,09-16-2017CS-UA17,COSTU@UA09-16-2017,634,CS-UA17,Matt Loeffler,Stan Weihe,Michael Shirey,Gus Morris III,Tony Josselyn,Glen Fucik,Jesse Dupuy,Chris Snead,Chris Snead,UA,Alabama,COSTU,Colorado State,2017-09-16,"Tuscaloosa, Ala.",Bryant-Denny Stadium,6:05 PM,9:16 PM,3:11,101821,83,E@1mph,Partly cloudy,0,character(0),0,Y,41,Mar-00,1,4,45,0,0,39,239,241,2,3,27,13,21,0,248,2,78,0,0,23,2-Feb,character(0),3,14,1,0,40,144,157,13,1,29,21,38,2,247,2,39,0,0,COSTU-UA,COSTU,UA,1,50,51,0,0,0,Colorado State vs Alabama,1,character(0),0,9/16/17,Colorado State @ Alabama,Colorado State-Alabama09-16-2017,Colorado State,Alabama,COSTU,UA,,1653298.0,ESPN2
213,09-16-2017170916VU,KSU@VANDY09-16-2017,636,170916VU,Scott Campbell,Joel Bellinger,Keith Garmond,Doug Moore,Joel Wetzel,Randy Smith,Corcy Luxner,Mike Cuttone,Mike Cuttone,VANDY,Vanderbilt,KSU,Kansas State,2017-09-16,"Nashville, Tenn.",Vanderbilt Stadium,6:32,9:49,3:17,40350,83,E3,SUNNY,0,character(0),0,Y,14,Mar-00,character(0),5,50,1,1,32,65,72,7,1,10,14,23,0,205,1,38,1,2,7,1-Feb,18,7,68,0,0,35,201,221,20,1,27,10,28,2,76,0,13,2,5,KSU-VANDY,KSU,VANDY,50,18,68,0,0,0,Kansas State vs Vanderbilt,character(0),18,0,9/16/17,Kansas State @ Vanderbilt,Kansas State-Vanderbilt09-16-2017,Kansas State,Vanderbilt,KSU,VANDY,,433095.0,ESPNU
215,09-16-2017MS0916,LSU@MS09-16-2017,638,MS0916,Hubert Owens,Walt Hill,Chuck Rice,Chad Green,Martin Hankins,Greg Thomas,Chad Hill,Jason McArthur,Jason McArthur,MS,Mississippi State,LSU,LSU,2017-09-16,"Starkville, Miss.",Davis Wade Stadium,6:05 PM,9:13 PM,3:08,60596,83,ESE @ 4,Clear skies,0,Y,0,Y,37,Mar-00,character(0),5,49,0,0,48,285,292,7,2,28,15,23,0,180,2,45,1,2,7,1-Feb,12,9,112,1,0,29,133,143,10,1,25,13,29,0,137,0,19,2,8,LSU-MS,LSU,MS,50,12,62,0,WEST,0,LSU vs Mississippi State,character(0),12,0,9/16/17,LSU @ Mississippi State,LSU-Mississippi State09-16-2017,LSU,Mississippi State,LSU,MS,,2580958.0,ESPN
217,09-16-2017FDBB7263,OM@CAL09-16-2017,640,FDBB7263,Ken Williamson,Wally Hough,Mickey Bryson,Lane Thomas,John Wright,Jeff Batts,Rob Skelton,Tra Boger,Tra Boger,CAL,California,OM,Mississippi (Ole Miss),2017-09-16,"Berkeley, California",Memorial Stadium,7:36 PM,11:06 PM,3:30,37125,62,Nil,Light clouds,0,character(0),0,Y,27,Mar-00,character(0),7,90,1,0,40,163,181,18,1,25,24,48,2,236,1,28,1,4,16,1-Feb,character(0),16,113,2,0,29,53,100,47,0,12,26,44,3,363,2,72,5,38,CAL-OM,CAL,OM,50,50,100,0,0,0,California vs Mississippi (Ole Miss),character(0),character(0),0,9/16/17,Ole Miss @ California (ESPN),Mississippi (Ole Miss)-California09-16-2017,Mississippi (Ole Miss),California,OM,CAL,,1241361.0,ESPN
220,09-16-2017UF-UT,TENN@UF09-16-2017,643,UF-UT,John McDavid,Tom Quick,Chad Lorance,Gary Jayrow,Grantis Bell,P. Davenport,Chris Conley,Brian Davis,Brian Davis,UF,Florida,TENN,Tennessee,2017-09-16,"Gainesville, Fla.",BHG Stadium,3:40 PM,7:10 PM,3:30,87736,85,NE 6,"Ptly Cldy, Humid 70%",0,Y,0,character(0),26,1-Jan,24,8,38,2,2,29,168,196,28,0,72,18,28,1,212,2,63,2,24,20,1-Feb,23,7,54,0,0,33,183,194,11,1,38,21,39,3,259,1,52,1,6,TENN-UF,TENN,UF,24,23,47,EAST,0,0,Tennessee vs Florida,24,23,0,9/16/17,Tennessee @ Florida,Tennessee-Florida09-16-2017,Tennessee,Florida,TENN,UF,3.2,5160000.0,CBS
222,09-09-2017CU170909,AU@CU09-09-2017,623,CU170909,Matt Loeffler,Stan Weihe,Chuck Rice,Gus Morris,Tony Josselyn,Bobby Ables,Jesse Dupuy,Chris Snead,Chris Snead,CU,Clemson,AU,Auburn,2017-09-09,"Clemson, SC",Memorial Stadium,7:05 PM,10:18 PM,3:13,81799,75,ENE9mph,clear,0,character(0),0,Y,14,Feb-00,3,8,60,2,2,36,99,135,36,2,27,20,31,0,185,0,33,3,23,6,1-Jan,13,5,43,1,0,42,38,111,73,0,15,13,24,0,79,0,23,11,72,AU-CU,AU,CU,3,13,16,0,0,0,Auburn vs Clemson,3,13,0,9/9/17,Auburn @ Clemson (ESPN),Auburn-Clemson09-09-2017,Auburn,Clemson,AU,CU,,3503502.0,ESPN
224,09-09-201702UA-FS,FRESNO@UA09-09-2017,625,02UA-FS,Marc Curles,Johnny Hibbett,Chris Conway,Randall Kizer,Scott Vaughan,Wes Booker,Chris Jamison,Chris Garner,Chris Garner,UA,Alabama,FRESNO,Fresno State,2017-09-09,"Tuscaloosa, Ala.",Bryant-Denny Stadium,2:35 PM,5:36 PM,3:01,101127,79,9mphENE,"Clear, Sunny",0,character(0),0,character(0),41,Feb-00,1,4,30,0,0,39,305,316,11,3,55,20,27,0,192,2,24,1,8,10,1-Jan,character(0),1,6,1,0,22,58,81,23,0,15,26,41,1,216,1,30,1,8,FRESNO-UA,FRESNO,UA,1,50,51,0,0,0,Fresno State vs Alabama,1,character(0),0,9/9/17,Fresno State @ Alabama,Fresno State-Alabama09-09-2017,Fresno State,Alabama,FRESNO,UA,,2136259.0,ESPN2
228,09-09-2017TAMU_02,NICHOLLS@TAMU09-09-2017,629,TAMU_02,Kevin Boitmann,Michael Prowell,Brian Harless,Chad Green,Dax Hill,J. Taylor,A. Jeffries,Wayne Winkler,Wayne Winkler,TAMU,Texas A&M,NICHOLLS,Nicholls,2017-09-09,"College Station, TX",Kyle Field,6:07 PM,9:33 PM,3:26,100276,84,N/NE 10,Sunny,0,character(0),0,Y,24,1-Jan,character(0),4,45,0,0,47,195,229,34,2,41,24,36,0,198,1,27,4,25,14,1-Jan,character(0),7,54,2,1,31,74,97,23,0,13,13,25,1,264,1,54,2,7,NICHOLLS-TAMU,NICHOLLS,TAMU,50,50,100,0,0,0,Nicholls vs Texas A&M,character(0),character(0),0,9/9/17,Nicholls @ Texas A&M,Nicholls-Texas A&M09-09-2017,Nicholls,Texas A&M,NICHOLLS,TAMU,,367136.0,ESPNU
229,09-09-2017MIZZ2,SCAR@MIZZU09-09-2017,630,MIZZ2,Ken Williamson,Wally Hough,Michael Shirley,Lane Thomas,Grantis Bell,Jeff Batts,Rob Skelton,Tra Booger,Tra Booger,MIZZU,Missouri,SCAR,South Carolina,2017-09-09,"Columbia, Mo.",Memorial Stadium,6:05 PM,9:12 PM,3:07,55023,81,,Beautiful Night,0,Y,0,Y,13,1-Jan,character(0),4,24,1,1,37,178,185,7,0,25,14,32,2,245,1,61,1,6,31,Feb-00,character(0),4,29,0,0,40,172,187,15,2,32,18,28,0,187,1,39,1,8,MIZZU-SCAR,MIZZU,SCAR,50,50,100,EAST,0,0,Missouri vs South Carolina,character(0),character(0),0,9/9/17,South Carolina @ Missouri,South Carolina-Missouri09-09-2017,South Carolina,Missouri,SCAR,MIZZU,,834460.0,ESPN2
230,09-09-2017AR090917,TCU@AR09-09-2017,631,AR090917,Reggie Smith,Tab Slaughter,Mark Stewart,Mike Moeller,Lyndon Nixon,Matt Mills,Tim Murray,Stacy Hardin,Stacy Hardin,AR,Arkansas,TCU,TCU,2017-09-09,"Fayetteville, Ark.",DWRRS,2:39 p.m,5:46 PM,3:07,73668,82,E 10 mph,Partly Cloudy,0,character(0),0,character(0),7,1-Jan,character(0),5,49,2,1,31,129,142,13,0,26,9,23,0,138,1,49,3,10,28,Feb-00,character(0),6,60,3,1,42,195,209,14,4,15,21,31,1,166,0,22,1,5,AR-TCU,AR,TCU,50,50,100,0,0,0,Arkansas vs TCU,,,0,9/9/17,TCU @ Arkansas,TCU-Arkansas09-09-2017,TCU,Arkansas,TCU,AR,1.5,2350000.0,CBS
